ID,Type,Month,Block
3895,Theft From Auto Under $5000,06,16XX W BROADWAY AV
3896,Theft From Auto Under $5000,06,12XX BURNABY ST
3897,Theft From Auto Under $5000,06,2XX E 14TH AV
3898,Theft From Auto Under $5000,06,5XX KEEFER ST
3899,Theft From Auto Under $5000,06,E HASTINGS ST / WINDERMERE ST
3900,Theft From Auto Under $5000,06,3XX E 46TH AV
3901,Theft From Auto Under $5000,06,ROBSON ST / SEYMOUR ST
3902,Theft From Auto Under $5000,06,21XX W BROADWAY AV
3903,Theft From Auto Under $5000,06,8XX AVISON WAY
3904,Theft From Auto Under $5000,06,8XX AVISON WAY
3905,Theft From Auto Under $5000,06,8XX AVISON WAY
3906,Theft From Auto Under $5000,06,9XX CANADA PL
3907,Theft From Auto Under $5000,06,58XX TISDALL ST
3908,Theft From Auto Under $5000,06,35XX W 20TH AV
3909,Theft From Auto Under $5000,06,9XX E 30TH AV
3910,Theft From Auto Under $5000,06,HEATHER ST / W BROADWAY AV
3911,Theft From Auto Under $5000,06,35XX W 20TH AV
3912,Theft From Auto Under $5000,06,DRAKE ST / HOWE ST
3913,Theft From Auto Under $5000,06,1XX E 2ND AV
3914,Theft From Auto Under $5000,06,10XX BROUGHTON ST
3915,Theft From Auto Under $5000,06,22XX VENABLES ST
3916,Theft From Auto Under $5000,06,44XX NANAIMO ST
3917,Theft From Auto Under $5000,06,30XX E 26TH AV
3918,Theft From Auto Under $5000,06,14XX QUEBEC ST
3919,Theft From Auto Under $5000,06,12XX E 22ND AV
3920,Theft From Auto Under $5000,06,11XX HARWOOD ST
3921,Theft From Auto Under $5000,06,GORE AV / KEEFER ST
3922,Theft From Auto Under $5000,06,7XX TERMINAL AV
3923,Theft From Auto Under $5000,06,21XX W BROADWAY AV
3924,Theft From Auto Under $5000,06,JOYCE ST / KINGSWAY AV
3925,Theft From Auto Under $5000,06,22XX W BROADWAY AV
3926,Theft From Auto Under $5000,06,21XX W BROADWAY AV
3927,Theft From Auto Under $5000,06,7XX W GEORGIA ST
3928,Theft From Auto Under $5000,06,33XX W BROADWAY AV
3929,Theft From Auto Under $5000,06,9XX BURRARD ST
3930,Theft From Auto Under $5000,06,28XX WALLACE ST
3931,Theft From Auto Under $5000,06,24XX BLENHEIM ST
3932,Theft From Auto Under $5000,06,35XX VANNESS AV
3933,Theft From Auto Under $5000,06,12XX GRANVILLE ST
3934,Theft From Auto Under $5000,06,39XX W 12TH AV
3935,Theft From Auto Under $5000,06,9XX SEYMOUR ST
3936,Theft From Auto Under $5000,06,13XX E 26TH AV
3937,Theft From Auto Under $5000,06,22XX W 2ND AV
3938,Theft From Auto Under $5000,06,19XX DUNBAR ST
3939,Theft From Auto Under $5000,06,16XX CHESTNUT ST
3940,Theft From Auto Under $5000,06,6XX E CORDOVA ST
3941,Theft From Auto Under $5000,06,34XX W 10TH AV
3942,Theft From Auto Under $5000,06,26XX W 32ND AV
3943,Theft From Auto Under $5000,06,10XX E 21ST AV
3944,Theft From Auto Under $5000,06,59XX COMMERCIAL ST
3945,Theft From Auto Under $5000,06,8XX AVISON WAY
3946,Theft From Auto Under $5000,06,9XX THURLOW ST
3947,Theft From Auto Under $5000,06,12XX GRANVILLE ST
3948,Theft From Auto Under $5000,06,25XX E 29TH AV
3949,Theft From Auto Under $5000,06,44XX PUGET DR
3950,Theft From Auto Under $5000,06,1XX W 46TH AV
3951,Theft From Auto Under $5000,06,35XX SW MARINE DR
3952,Theft From Auto Under $5000,06,34XX CAROLINA ST
3953,Theft From Auto Under $5000,06,5XX E 11TH AV
3954,Theft From Auto Under $5000,06,28XX W 11TH AV
3955,Theft From Auto Under $5000,06,86XX HEATHER ST
3956,Theft From Auto Under $5000,06,24XX STEPHENS ST
3957,Theft From Auto Under $5000,06,43XX MAIN ST
3958,Theft From Auto Under $5000,06,84XX ONTARIO ST
3959,Theft From Auto Under $5000,06,3XX INDUSTRIAL AV
3960,Theft From Auto Under $5000,06,28XX W 11TH AV
3961,Theft From Auto Under $5000,06,10XX BURRARD ST
3962,Theft From Auto Under $5000,06,34XX W 13TH AV
3963,Theft From Auto Under $5000,06,29XX W 31ST AV
3964,Theft From Auto Under $5000,06,COMOX ST / THURLOW ST
3965,Theft From Auto Under $5000,06,EAST BLVD / W 42ND AV
3966,Theft From Auto Under $5000,06,34XX E 47TH AV
3967,Theft From Auto Under $5000,06,9XX GILFORD ST
3968,Theft From Auto Under $5000,06,23XX W 2ND AV
3969,Theft From Auto Under $5000,06,69XX ASH ST
3970,Theft From Auto Under $5000,06,5XX SW MARINE DR
3971,Theft From Auto Under $5000,06,11XX BURRARD ST
3972,Theft From Auto Under $5000,06,DAVIE ST / GRANVILLE ST
3973,Theft From Auto Under $5000,06,27XX W 30TH AV
3974,Theft From Auto Under $5000,06,7XX ALEXANDER ST
3975,Theft From Auto Under $5000,06,DUNSMUIR ST / SEYMOUR ST
3976,Theft From Auto Under $5000,06,9XX BURRARD ST
3977,Theft From Auto Under $5000,06,32XX E 22ND AV
3978,Theft From Auto Under $5000,06,24XX W 8TH AV
3979,Theft From Auto Under $5000,06,7XX E 14TH AV
3980,Theft From Auto Under $5000,06,53XX WALES ST
3981,Theft From Auto Under $5000,06,10XX JERVIS ST
3982,Theft From Auto Under $5000,06,18XX CREELMAN AV
3983,Theft From Auto Under $5000,06,25XX E 19TH AV
3984,Theft From Auto Under $5000,06,4XX E KING EDWARD AV
3985,Theft From Auto Under $5000,06,3XX W 7TH AV
3986,Theft From Auto Under $5000,06,12XX HORNBY ST
3987,Theft From Auto Under $5000,06,ROBSON ST / SEYMOUR ST
3988,Theft From Auto Under $5000,06,13XX E 20TH AV
3989,Theft From Auto Under $5000,06,22XX E 41ST AV
3990,Theft From Auto Under $5000,06,20XX NELSON ST
3991,Theft From Auto Under $5000,06,10XX RICHARDS ST
3992,Theft From Auto Under $5000,06,3XX E 6TH AV
3993,Theft From Auto Under $5000,06,19XX BARCLAY ST
3994,Theft From Auto Under $5000,06,12XX WILLIAM ST
3995,Theft From Auto Under $5000,06,3XX POWELL ST
3996,Theft From Auto Under $5000,06,W 42ND AV / YEW ST
3997,Theft From Auto Under $5000,06,7XX W GEORGIA ST
3998,Theft From Auto Under $5000,06,5XX SEYMOUR ST
3999,Theft From Auto Under $5000,06,56XX ORMIDALE ST
4000,Theft From Auto Under $5000,06,14XX GRANVILLE ST
4001,Theft From Auto Under $5000,06,73XX CULLODEN ST
4002,Theft From Auto Under $5000,06,23XX W 2ND AV
4003,Theft From Auto Under $5000,06,7XX W GEORGIA ST
4004,Theft From Auto Under $5000,06,10XX RICHARDS ST
4005,Theft From Auto Under $5000,06,BAYSHORE DR / CARDERO ST
4006,Theft From Auto Under $5000,06,E HASTINGS ST / WINDERMERE ST
4007,Theft From Auto Under $5000,06,1XX DUNSMUIR ST
4008,Theft From Auto Under $5000,06,6XX ABBOTT ST
4009,Theft From Auto Under $5000,06,25XX COLUMBIA ST
4010,Theft From Auto Under $5000,06,18XX LORNE ST
4011,Theft Of Auto Over $5000,01,DAVIE ST / JERVIS ST
4012,Theft Of Auto Over $5000,01,1XX SW MARINE DR
4013,Theft Of Auto Over $5000,01,3XX E 14TH AV
4014,Theft Of Auto Over $5000,01,49XX KILLARNEY ST
4015,Theft Of Auto Over $5000,01,88XX LAUREL ST
4016,Theft Of Auto Over $5000,01,11XX BEACH AV
4017,Theft Of Auto Over $5000,01,5XX E 11TH AV
4018,Theft Of Auto Over $5000,01,3XX KEEFER ST
4019,Theft Of Auto Over $5000,01,23XX E HASTINGS ST
4020,Theft Of Auto Over $5000,01,1XX E 63RD AV
4021,Theft Of Auto Over $5000,01,16XX BURNABY ST
4022,Theft Of Auto Over $5000,01,17XX E 64TH AV
4023,Theft Of Auto Over $5000,01,48XX SLOCAN ST
4024,Theft Of Auto Over $5000,01,89XX OAK ST
4025,Theft Of Auto Over $5000,01,11XX GRANVILLE ST
4026,Theft Of Auto Over $5000,01,13XX JERVIS ST
4027,Theft Of Auto Over $5000,01,1XX W PENDER ST
4028,Theft Of Auto Over $5000,01,HOWE ST / SMITHE ST
4029,Theft Of Auto Over $5000,01,6XX INDUSTRIAL AV
4030,Theft Of Auto Over $5000,01,E 57TH AV / KNIGHT ST
4031,Theft Of Auto Over $5000,01,4XX SEYMOUR ST
4032,Theft Of Auto Over $5000,01,30XX GRANT ST
4033,Theft Of Auto Over $5000,01,83XX ST GEORGE ST
4034,Theft Of Auto Over $5000,01,6XX W 41ST AV
4035,Theft Of Auto Over $5000,01,24XX W 8TH AV
4036,Theft Of Auto Over $5000,01,33XX MAQUINNA DR
4037,Theft Of Auto Over $5000,01,36XX COMMERCIAL ST
4038,Theft Of Auto Over $5000,01,30XX LAUREL ST
4039,Theft Of Auto Over $5000,01,58XX HUDSON ST
4040,Theft Of Auto Over $5000,01,44XX DUMFRIES ST
4041,Theft Of Auto Over $5000,02,29XX E 43RD AV
4042,Theft Of Auto Over $5000,02,86XX OSLER ST
4043,Theft Of Auto Over $5000,02,61XX HIGHBURY ST
4044,Theft Of Auto Over $5000,02,4XX E CORDOVA ST
4045,Theft Of Auto Over $5000,02,2XX E 14TH AV
4046,Theft Of Auto Over $5000,02,7XX E PENDER ST
4047,Theft Of Auto Over $5000,02,25XX E 28TH AV
4048,Theft Of Auto Over $5000,02,BARCLAY ST / BROUGHTON ST
4049,Theft Of Auto Over $5000,02,18XX CHARLES ST
4050,Theft Of Auto Over $5000,02,18XX W 6TH AV
4051,Theft Of Auto Over $5000,02,13XX E 29TH AV
4052,Theft Of Auto Over $5000,02,10XX W PENDER ST
4053,Theft Of Auto Over $5000,02,29XX E PENDER ST
4054,Theft Of Auto Over $5000,02,18XX YORK AV
4055,Theft Of Auto Over $5000,02,ACCESS RD / E 1ST AV
4056,Theft Of Auto Over $5000,03,5XX W 64TH AV
4057,Theft Of Auto Over $5000,03,7XX NELSON ST
4058,Theft Of Auto Over $5000,03,34XX E 25TH AV
4059,Theft Of Auto Over $5000,03,13XX E 64TH AV
4060,Theft Of Auto Over $5000,03,25XX SE MARINE DR
4061,Theft Of Auto Over $5000,03,63XX ROSS ST
4062,Theft Of Auto Over $5000,03,3XX E 24TH AV
4063,Theft Of Auto Over $5000,03,11XX HARWOOD ST
4064,Theft Of Auto Over $5000,03,GRANDVIEW HWY / KASLO ST
4065,Theft Of Auto Over $5000,03,23XX BURRARD ST
4066,Theft Of Auto Over $5000,03,33XX E 27TH AV
4067,Theft Of Auto Over $5000,03,74XX GATINEAU PL
4068,Theft Of Auto Over $5000,03,E 49TH AV / ONTARIO ST
4069,Theft Of Auto Over $5000,03,52XX GRANVILLE ST
4070,Theft Of Auto Over $5000,03,19XX ALBERNI ST
4071,Theft Of Auto Over $5000,03,25XX MAPLE ST
4072,Theft Of Auto Over $5000,03,BIDWELL ST / W GEORGIA ST
4073,Theft Of Auto Over $5000,03,3XX WETHERSFIELD DR
4074,Theft Of Auto Over $5000,03,7XX W 49TH AV
4075,Theft Of Auto Over $5000,03,1XX ROGERS ST
4076,Theft Of Auto Over $5000,03,27XX W BROADWAY AV
4077,Theft Of Auto Over $5000,03,1XX W CORDOVA ST
4078,Theft Of Auto Over $5000,03,20XX YUKON ST
4079,Theft Of Auto Over $5000,04,9XX E CORDOVA ST
4080,Theft Of Auto Over $5000,04,34XX E HASTINGS ST
4081,Theft Of Auto Over $5000,04,23XX W 2ND AV
4082,Theft Of Auto Over $5000,04,39XX W 20TH AV
4083,Theft Of Auto Over $5000,04,39XX W 20TH AV
4084,Theft Of Auto Over $5000,04,7XX GRANVILLE ST
4085,Theft Of Auto Over $5000,04,7XX W PENDER ST
4086,Theft Of Auto Over $5000,04,BOUNDARY RD / MONMOUTH AV
4087,Theft Of Auto Over $5000,04,MACDONALD ST / W 8TH AV
4088,Theft Of Auto Over $5000,04,5XX GRANVILLE ST
4089,Theft Of Auto Over $5000,04,85XX CAMBIE ST
4090,Theft Of Auto Over $5000,04,9XX SW MARINE DR
4091,Theft Of Auto Over $5000,04,4XX ABBOTT ST
4092,Theft Of Auto Over $5000,04,19XX STEPHENS ST
4093,Theft Of Auto Over $5000,04,BOUNDARY RD / E 4TH AV
4094,Theft Of Auto Over $5000,04,21XX GRANDVIEW HWY S
4095,Theft Of Auto Over $5000,04,12XX BURNABY ST
4096,Theft Of Auto Over $5000,04,89XX SHAUGHNESSY ST
4097,Theft Of Auto Over $5000,04,19XX MAIN ST
4098,Theft Of Auto Over $5000,04,29XX GRAVELEY ST
4099,Theft Of Auto Over $5000,04,2XX E 26TH AV
4100,Theft Of Auto Over $5000,04,13XX E KENT N AV
4101,Theft Of Auto Over $5000,05,51XX FAIRMONT ST
4102,Theft Of Auto Over $5000,05,6XX MOBERLY RD
4103,Theft Of Auto Over $5000,05,15XX W 12TH AV
4104,Theft Of Auto Over $5000,05,10XX BURRARD ST
4105,Theft Of Auto Over $5000,05,HEATHER ST / W 32ND AV
4106,Theft Of Auto Over $5000,05,CAMBIE ST / W 12TH AV
4107,Theft Of Auto Over $5000,05,4XX SEMLIN DR
4108,Theft Of Auto Over $5000,05,13XX SW MARINE DR
4109,Theft Of Auto Over $5000,05,EUCLID AV / JOYCE ST
4110,Theft Of Auto Over $5000,05,4XX W GEORGIA ST
4111,Theft Of Auto Over $5000,05,27XX E 6TH AV
4112,Theft Of Auto Over $5000,05,CLARK DR / E HASTINGS ST
4113,Theft Of Auto Over $5000,05,OBEN ST / VANNESS AV
4114,Theft Of Auto Over $5000,05,E BROADWAY AV / GARDEN DR
4115,Theft Of Auto Over $5000,05,80XX INVERNESS ST
4116,Theft Of Auto Over $5000,05,1XX KEEFER ST
4117,Theft Of Auto Over $5000,05,RUPERT ST / WORTHINGTON DR
4118,Theft Of Auto Over $5000,05,6XX SEYMOUR ST
4119,Theft Of Auto Over $5000,05,23XX ST CATHERINES ST
4120,Theft Of Auto Over $5000,05,ASH ST / W 12TH AV
4121,Theft Of Auto Over $5000,05,39XX W 14TH AV
4122,Theft Of Auto Over $5000,05,35XX W 3RD AV
4123,Theft Of Auto Over $5000,05,32XX MATAPAN CRES
4124,Theft Of Auto Over $5000,05,14XX W 10TH AV
4125,Theft Of Auto Over $5000,05,38XX W 13TH AV
4126,Theft Of Auto Over $5000,05,29XX KINGSWAY AV
4127,Theft Of Auto Over $5000,05,DRAKE ST / RICHARDS ST
4128,Theft Of Auto Over $5000,05,35XX W 3RD AV
4129,Theft Of Auto Over $5000,05,18XX HARO ST
4130,Theft Of Auto Over $5000,05,E 59TH AV / FRASER ST
4131,Theft Of Auto Over $5000,05,36XX TANNER ST
4132,Theft Of Auto Over $5000,06,4XX W 18TH AV
4133,Theft Of Auto Over $5000,06,18XX E 22ND AV
4134,Theft Of Auto Over $5000,06,33XX W 15TH AV
4135,Theft Of Auto Over $5000,06,DUNSMUIR ST / HORNBY ST
4136,Theft Of Auto Over $5000,06,32XX W 11TH AV
4137,Theft Of Auto Over $5000,06,10XX SE MARINE DR
4138,Theft Of Auto Over $5000,06,DUNSMUIR ST / HOMER ST
4139,Theft Of Auto Over $5000,06,58XX PRINCE ALBERT ST
4140,Theft Of Auto Over $5000,06,35XX NAPIER ST
4141,Theft Of Auto Over $5000,06,52XX PRINCE ALBERT ST
4142,Theft Of Auto Over $5000,06,18XX E 64TH AV
4143,Theft Of Auto Over $5000,06,87XX MONTCALM ST
4144,Theft Of Auto Over $5000,06,26XX COLUMBIA ST
4145,Theft Of Auto Over $5000,06,32XX W 26TH AV
4146,Theft Of Auto Over $5000,06,31XX E 62ND AV
4147,Theft Of Auto Over $5000,06,8XX SW MARINE DR
4148,Theft Of Auto Over $5000,06,18XX E 64TH AV
4149,Theft Of Auto Over $5000,06,COMMERCIAL DR / E 3RD AV
4150,Theft Of Auto Over $5000,06,GRANVILLE ST / HELMCKEN ST
4151,Theft Of Auto Over $5000,06,17XX W 61ST AV
4152,Theft Of Auto Over $5000,06,29XX E 22ND AV
4153,Theft Of Auto Over $5000,06,32XX W 28TH AV
4154,Theft Of Auto Over $5000,06,29XX E 22ND AV
4155,Theft Of Auto Over $5000,06,E 22ND AV / RENFREW ST
4156,Theft Of Auto Over $5000,06,CAMBIE ST / NELSON ST
4157,Theft Of Auto Over $5000,06,16XX E KENT S AV
4158,Theft Of Auto Over $5000,06,22XX W 2ND AV
4159,Theft Of Auto Over $5000,06,1XX E BROADWAY AV
4160,Theft Of Auto Over $5000,06,7XX HORNBY ST
4161,Theft Of Auto Over $5000,06,11XX HOWE ST
4162,Theft Of Auto Over $5000,06,4XX E 64TH AV
4163,Thef Of Auto Under $5000,01,3XX E 55TH AV
4164,Thef Of Auto Under $5000,01,E 8TH AV / QUEBEC ST
4165,Thef Of Auto Under $5000,01,2XX E WOODSTOCK AV
4166,Thef Of Auto Under $5000,01,49XX JOYCE ST
4167,Thef Of Auto Under $5000,01,15XX DAVIE ST
4168,Thef Of Auto Under $5000,01,15XX PENDRELL ST
4169,Thef Of Auto Under $5000,01,10XX BURNABY ST
4170,Thef Of Auto Under $5000,01,37XX W 4TH AV
4171,Thef Of Auto Under $5000,01,69XX BALMORAL ST
4172,Thef Of Auto Under $5000,01,61XX PRINCE EDWARD ST
4173,Thef Of Auto Under $5000,01,5XX W 12TH AV
4174,Thef Of Auto Under $5000,01,7XX SAWYERS LANE
4175,Thef Of Auto Under $5000,01,25XX YORK AV
4176,Thef Of Auto Under $5000,01,2XX KINGSWAY AV
4177,Thef Of Auto Under $5000,01,36XX W 36TH AV
4178,Thef Of Auto Under $5000,01,11XX BURNABY ST
4179,Thef Of Auto Under $5000,01,7XX SAWYERS LANE
4180,Thef Of Auto Under $5000,01,18XX E 49TH AV
4181,Thef Of Auto Under $5000,01,65XX DOMAN ST
4182,Thef Of Auto Under $5000,01,28XX E 15TH AV
4183,Thef Of Auto Under $5000,01,2XX W 18TH AV
4184,Thef Of Auto Under $5000,01,27XX CHARLES ST
4185,Thef Of Auto Under $5000,01,ETON ST / WALL ST
4186,Thef Of Auto Under $5000,01,49XX CHATHAM ST
4187,Thef Of Auto Under $5000,01,BIDWELL ST / HARWOOD ST
4188,Thef Of Auto Under $5000,01,15XX E 4TH AV
4189,Thef Of Auto Under $5000,01,28XX W 3RD AV
4190,Thef Of Auto Under $5000,01,21XX MAIN ST
4191,Thef Of Auto Under $5000,01,14XX W 71ST AV
4192,Thef Of Auto Under $5000,01,10XX BIDWELL ST
4193,Thef Of Auto Under $5000,01,80XX PRINCE EDWARD ST
4194,Thef Of Auto Under $5000,01,JASPER CRES / VICTORIA DR
4195,Thef Of Auto Under $5000,01,22XX COMMERCIAL DR
4196,Thef Of Auto Under $5000,01,E 10TH AV / PRINCE EDWARD ST
4197,Thef Of Auto Under $5000,01,KEEFER PL / TAYLOR ST
4198,Thef Of Auto Under $5000,01,59XX TODERICK ST
4199,Thef Of Auto Under $5000,01,27XX E 5TH AV
4200,Thef Of Auto Under $5000,01,7XX PACIFIC BLVD
4201,Thef Of Auto Under $5000,01,12XX COMOX ST
4202,Thef Of Auto Under $5000,01,90XX SHAUGHNESSY ST
4203,Thef Of Auto Under $5000,01,21XX MCMULLEN AV
4204,Thef Of Auto Under $5000,01,14XX LAKEWOOD DR
4205,Thef Of Auto Under $5000,01,10XX E 16TH AV
4206,Thef Of Auto Under $5000,01,E HASTINGS ST / SEMLIN DR
4207,Thef Of Auto Under $5000,01,32XX W 23RD AV
4208,Thef Of Auto Under $5000,01,1XX W 10TH AV
4209,Thef Of Auto Under $5000,01,8XX TERMINAL AV
4210,Thef Of Auto Under $5000,01,9XX SW MARINE DR
4211,Thef Of Auto Under $5000,01,66XX VIVIAN ST
4212,Thef Of Auto Under $5000,01,17XX E 49TH AV
4213,Thef Of Auto Under $5000,01,HUDSON ST / W 72ND AV
4214,Thef Of Auto Under $5000,01,57XX WILLOW ST
4215,Thef Of Auto Under $5000,01,25XX W 15TH AV
4216,Thef Of Auto Under $5000,01,4XX ROBSON ST
4217,Thef Of Auto Under $5000,01,31XX E 8TH AV
4218,Thef Of Auto Under $5000,01,17XX E HASTINGS ST
4219,Thef Of Auto Under $5000,01,10XX PACIFIC ST
4220,Thef Of Auto Under $5000,01,8XX W GEORGIA ST
4221,Thef Of Auto Under $5000,01,27XX E 44TH AV
4222,Thef Of Auto Under $5000,01,CARRALL ST / W HASTINGS ST
4223,Thef Of Auto Under $5000,01,22XX MAIN ST
4224,Thef Of Auto Under $5000,01,27XX SLOCAN ST
4225,Thef Of Auto Under $5000,01,E HASTINGS ST / NANAIMO ST
4226,Thef Of Auto Under $5000,01,6XX W 41ST AV
4227,Thef Of Auto Under $5000,01,26XX E 45TH AV
4228,Thef Of Auto Under $5000,01,5XX E 63RD AV
4229,Thef Of Auto Under $5000,01,7XX W 14TH AV
4230,Thef Of Auto Under $5000,01,49XX QUEBEC ST
4231,Thef Of Auto Under $5000,01,16XX BARCLAY ST
4232,Thef Of Auto Under $5000,01,57XX STIRLING ST
4233,Thef Of Auto Under $5000,01,60XX VINE ST
4234,Thef Of Auto Under $5000,01,5XX WOODLAND DR
4235,Thef Of Auto Under $5000,01,25XX GRAVELEY ST
4236,Thef Of Auto Under $5000,01,23XX W 2ND AV
4237,Thef Of Auto Under $5000,01,19XX COMOX ST
4238,Thef Of Auto Under $5000,01,16XX E BROADWAY AV
4239,Thef Of Auto Under $5000,01,24XX GARDEN DR
4240,Thef Of Auto Under $5000,01,32XX E 15TH AV
4241,Thef Of Auto Under $5000,01,61XX TISDALL ST
4242,Thef Of Auto Under $5000,01,5XX SEYMOUR ST
4243,Thef Of Auto Under $5000,01,18XX HARO ST
4244,Thef Of Auto Under $5000,01,68XX DUMFRIES ST
4245,Thef Of Auto Under $5000,01,29XX E 28TH AV
4246,Thef Of Auto Under $5000,01,E 54TH AV / KILLARNEY ST
4247,Thef Of Auto Under $5000,01,34XX MATAPAN CRES
4248,Thef Of Auto Under $5000,01,59XX DUMFRIES ST
4249,Thef Of Auto Under $5000,01,OAK ST / W 42ND AV
4250,Thef Of Auto Under $5000,01,3XX E 11TH AV
4251,Thef Of Auto Under $5000,01,8XX E 14TH AV
4252,Thef Of Auto Under $5000,01,1XX W GEORGIA ST
4253,Thef Of Auto Under $5000,01,5XX JERVIS ST
4254,Thef Of Auto Under $5000,01,5XX E 5TH AV
4255,Thef Of Auto Under $5000,01,82XX MAIN ST
4256,Thef Of Auto Under $5000,01,42XX PERRY ST
4257,Thef Of Auto Under $5000,01,9XX PRINCESS AV
4258,Thef Of Auto Under $5000,01,57XX INVERNESS ST
4259,Thef Of Auto Under $5000,01,72XX CAMANO ST
4260,Thef Of Auto Under $5000,01,25XX W 13TH AV
4261,Thef Of Auto Under $5000,01,3XX E 43RD AV
4262,Thef Of Auto Under $5000,01,1XX ALEXANDER ST
4263,Thef Of Auto Under $5000,01,70XX FLEMING ST
4264,Thef Of Auto Under $5000,01,JOYCE ST / VANNESS AV
4265,Thef Of Auto Under $5000,01,13XX BIRCH WALK
4266,Thef Of Auto Under $5000,01,54XX SLOCAN ST
4267,Thef Of Auto Under $5000,01,25XX E 19TH AV
4268,Thef Of Auto Under $5000,01,16XX HARWOOD ST
4269,Thef Of Auto Under $5000,01,21XX YORK AV
4270,Thef Of Auto Under $5000,01,55XX ALMA ST
4271,Thef Of Auto Under $5000,01,3XX HEATLEY AV
4272,Thef Of Auto Under $5000,01,52XX MELBOURNE ST
4273,Thef Of Auto Under $5000,01,ABBOTT ST / W PENDER ST
4274,Thef Of Auto Under $5000,01,35XX VANNESS AV
4275,Thef Of Auto Under $5000,01,34XX NAPIER ST
4276,Thef Of Auto Under $5000,01,16XX GRANVILLE ST
4277,Thef Of Auto Under $5000,01,3XX CAMBIE ST
4278,Thef Of Auto Under $5000,01,11XX ROSSLAND ST
4279,Thef Of Auto Under $5000,01,10XX MARINASIDE CRES
4280,Thef Of Auto Under $5000,01,CAROLINA ST / E 20TH AV
4281,Thef Of Auto Under $5000,01,47XX FLEMING ST
4282,Thef Of Auto Under $5000,01,E 4TH AV / VICTORIA DR
4283,Thef Of Auto Under $5000,01,38XX DUMFRIES ST
4284,Thef Of Auto Under $5000,01,8XX SEYMOUR ST
4285,Thef Of Auto Under $5000,01,BROUGHTON ST / HARO ST
4286,Thef Of Auto Under $5000,01,12XX E 15TH AV
4287,Thef Of Auto Under $5000,01,32XX FINDLAY ST
4288,Thef Of Auto Under $5000,01,E 22ND AV / KNIGHT ST
4289,Thef Of Auto Under $5000,01,14XX MARPOLE AV
4290,Thef Of Auto Under $5000,01,1XX REGIMENT SQ
4291,Thef Of Auto Under $5000,01,2XX ROBSON ST
4292,Thef Of Auto Under $5000,01,50XX SPENCER ST
4293,Thef Of Auto Under $5000,01,20XX NELSON ST
4294,Thef Of Auto Under $5000,01,14XX COMMERCIAL DR
4295,Thef Of Auto Under $5000,02,82XX VICTORIA DR
4296,Thef Of Auto Under $5000,02,67XX VICTORIA DR
4297,Thef Of Auto Under $5000,02,13XX E 26TH AV
4298,Thef Of Auto Under $5000,02,20XX WOODLAND DR
4299,Thef Of Auto Under $5000,02,40XX WELWYN ST
4300,Thef Of Auto Under $5000,02,17XX E 12TH AV
4301,Thef Of Auto Under $5000,02,35XX PRICE ST
4302,Thef Of Auto Under $5000,02,E 7TH AV / PRINCE ALBERT ST
4303,Thef Of Auto Under $5000,02,85XX FRASER ST
4304,Thef Of Auto Under $5000,02,15XX DURANLEAU ST
4305,Thef Of Auto Under $5000,02,6XX WOODLAND DR
4306,Thef Of Auto Under $5000,02,2XX KEEFER ST
4307,Thef Of Auto Under $5000,02,4XX E 44TH AV
4308,Thef Of Auto Under $5000,02,8XX E 6TH AV
4309,Thef Of Auto Under $5000,02,10XX NOOTKA ST
4310,Thef Of Auto Under $5000,02,34XX NAIRN AV
4311,Thef Of Auto Under $5000,02,47XX REID ST
4312,Thef Of Auto Under $5000,02,17XX E 1ST AV
4313,Thef Of Auto Under $5000,02,13XX HARWOOD ST
4314,Thef Of Auto Under $5000,02,27XX CHARLES ST
4315,Thef Of Auto Under $5000,02,35XX ADANAC ST
4316,Thef Of Auto Under $5000,02,34XX E 23RD AV
4317,Thef Of Auto Under $5000,02,56XX CARNARVON ST
4318,Thef Of Auto Under $5000,02,17XX E GEORGIA ST
4319,Thef Of Auto Under $5000,02,46XX EARLES ST
4320,Thef Of Auto Under $5000,02,17XX E 41ST AV
4321,Thef Of Auto Under $5000,02,31XX E 50TH AV
4322,Thef Of Auto Under $5000,02,CHARLES ST / WINDERMERE ST
4323,Thef Of Auto Under $5000,02,15XX W 41ST AV
4324,Thef Of Auto Under $5000,02,8XX SE MARINE DR
4325,Thef Of Auto Under $5000,02,32XX W 5TH AV
4326,Thef Of Auto Under $5000,02,4XX HEATLEY AV
4327,Thef Of Auto Under $5000,02,33XX E 22ND AV
4328,Thef Of Auto Under $5000,02,8XX E 27TH AV
4329,Thef Of Auto Under $5000,02,7XX W 70TH AV
4330,Thef Of Auto Under $5000,02,64XX BUTLER ST
4331,Thef Of Auto Under $5000,02,20XX E 36TH AV
4332,Thef Of Auto Under $5000,02,63XX ST CATHERINES ST
4333,Thef Of Auto Under $5000,02,16XX W 61ST AV
4334,Thef Of Auto Under $5000,02,CARNARVON ST / W 33RD AV
4335,Thef Of Auto Under $5000,02,50XX QUEBEC ST
4336,Thef Of Auto Under $5000,02,COMMERCIAL ST / E 33RD AV
4337,Thef Of Auto Under $5000,02,11XX DAVIE ST
4338,Thef Of Auto Under $5000,02,2XX E 30TH AV
4339,Thef Of Auto Under $5000,02,12XX W 70TH AV
4340,Thef Of Auto Under $5000,02,84XX JELLICOE ST
4341,Thef Of Auto Under $5000,02,8XX E 39TH AV
4342,Thef Of Auto Under $5000,02,14XX GRAVELEY ST
